review,rating,region,platform,language,label
This product changed my life!!! Best ever!!! Must buy now!!!,4,Karnataka,Flipkart,Hindi,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,4,Tamil Nadu,Myntra,Tamil,Fake
Decent product for the price. Packaging could be better though.,1,Karnataka,Zomato,Hindi,Legit
Fits well and is comfortable for long periods of use.,2,West Bengal,Zomato,English,Legit
Decent product for the price. Packaging could be better though.,4,Tamil Nadu,Myntra,Bengali,Legit
Fits well and is comfortable for long periods of use.,5,Delhi,Zomato,Tamil,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,4,Karnataka,Snapdeal,Telugu,Legit
OMG this is the best phone in the universe!!!!,2,Maharashtra,Snapdeal,Telugu,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,3,Delhi,Snapdeal,Hindi,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,1,Tamil Nadu,Snapdeal,Tamil,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,2,Delhi,Flipkart,English,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,2,West Bengal,Zomato,Telugu,Fake
OMG this is the best phone in the universe!!!!,4,Karnataka,Snapdeal,Bengali,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,4,Delhi,Snapdeal,Bengali,Fake
Great product. Great service. Great everything.,1,Maharashtra,Zomato,Hindi,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,2,West Bengal,Snapdeal,Bengali,Fake
Great product. Great service. Great everything.,1,Karnataka,Zomato,Hindi,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,2,West Bengal,Snapdeal,Bengali,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,4,Tamil Nadu,Flipkart,Tamil,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,5,Delhi,Snapdeal,Bengali,Fake
Great product. Great service. Great everything.,2,West Bengal,Snapdeal,Telugu,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,4,West Bengal,Amazon,Bengali,Legit
Fits well and is comfortable for long periods of use.,3,Karnataka,Amazon,Hindi,Legit
Fits well and is comfortable for long periods of use.,2,Tamil Nadu,Amazon,Bengali,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,4,West Bengal,Snapdeal,Hindi,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,2,Maharashtra,Amazon,Hindi,Legit
Decent product for the price. Packaging could be better though.,3,Tamil Nadu,Snapdeal,English,Legit
Fits well and is comfortable for long periods of use.,2,West Bengal,Zomato,Tamil,Legit
Received the item in good condition. Works as expected.,2,Maharashtra,Zomato,Hindi,Legit
OMG this is the best phone in the universe!!!!,4,Karnataka,Snapdeal,Bengali,Fake
Received the item in good condition. Works as expected.,1,Tamil Nadu,Amazon,English,Legit
Received the item in good condition. Works as expected.,5,Delhi,Zomato,Telugu,Legit
Decent product for the price. Packaging could be better though.,4,Karnataka,Zomato,Tamil,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,5,Tamil Nadu,Amazon,Tamil,Legit
Received the item in good condition. Works as expected.,5,Karnataka,Zomato,English,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,4,West Bengal,Amazon,Tamil,Fake
OMG this is the best phone in the universe!!!!,2,Maharashtra,Snapdeal,Tamil,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,4,Tamil Nadu,Snapdeal,English,Fake
Great product. Great service. Great everything.,2,Karnataka,Myntra,Bengali,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,1,West Bengal,Zomato,Telugu,Fake
Received the item in good condition. Works as expected.,1,Maharashtra,Flipkart,Hindi,Legit
Decent product for the price. Packaging could be better though.,2,Tamil Nadu,Amazon,Telugu,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,4,Delhi,Myntra,Telugu,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,2,Tamil Nadu,Flipkart,English,Legit
Received the item in good condition. Works as expected.,5,Delhi,Flipkart,Bengali,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,1,West Bengal,Zomato,Tamil,Legit
Received the item in good condition. Works as expected.,5,Delhi,Flipkart,English,Legit
Great product. Great service. Great everything.,4,Maharashtra,Snapdeal,Hindi,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,3,Delhi,Myntra,English,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,3,Maharashtra,Amazon,English,Fake
Decent product for the price. Packaging could be better though.,1,Tamil Nadu,Amazon,Telugu,Legit
Great product. Great service. Great everything.,3,Delhi,Myntra,English,Fake
Received the item in good condition. Works as expected.,2,Delhi,Snapdeal,Hindi,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,1,Delhi,Myntra,Telugu,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,5,Maharashtra,Snapdeal,Bengali,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,3,Karnataka,Amazon,Bengali,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,3,Karnataka,Myntra,Tamil,Fake
Fits well and is comfortable for long periods of use.,3,Karnataka,Flipkart,Hindi,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,4,Delhi,Flipkart,Bengali,Fake
Decent product for the price. Packaging could be better though.,3,Karnataka,Zomato,Tamil,Legit
Fits well and is comfortable for long periods of use.,4,Delhi,Amazon,Bengali,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,4,Tamil Nadu,Amazon,Bengali,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,1,Karnataka,Amazon,English,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,5,Maharashtra,Zomato,Tamil,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,1,Karnataka,Zomato,Bengali,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,2,Karnataka,Flipkart,Telugu,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,5,Karnataka,Snapdeal,Telugu,Fake
Great product. Great service. Great everything.,3,Tamil Nadu,Amazon,Hindi,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,3,West Bengal,Amazon,English,Fake
Received the item in good condition. Works as expected.,4,Karnataka,Flipkart,Tamil,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,2,Delhi,Snapdeal,English,Fake
Received the item in good condition. Works as expected.,5,Tamil Nadu,Snapdeal,Tamil,Legit
Decent product for the price. Packaging could be better though.,4,Karnataka,Snapdeal,Bengali,Legit
Decent product for the price. Packaging could be better though.,3,Karnataka,Zomato,Tamil,Legit
Received the item in good condition. Works as expected.,4,Delhi,Amazon,Telugu,Legit
Fits well and is comfortable for long periods of use.,5,Delhi,Flipkart,English,Legit
OMG this is the best phone in the universe!!!!,2,Maharashtra,Snapdeal,Tamil,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,2,Maharashtra,Zomato,Telugu,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,2,Karnataka,Snapdeal,Telugu,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,2,Tamil Nadu,Flipkart,Hindi,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,1,Delhi,Flipkart,Telugu,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,1,Tamil Nadu,Amazon,Tamil,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,3,West Bengal,Amazon,Bengali,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,4,Delhi,Amazon,English,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,5,West Bengal,Flipkart,Hindi,Fake
Fits well and is comfortable for long periods of use.,5,Maharashtra,Amazon,English,Legit
Decent product for the price. Packaging could be better though.,1,Karnataka,Flipkart,Bengali,Legit
Received the item in good condition. Works as expected.,4,Tamil Nadu,Flipkart,Bengali,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,2,Delhi,Flipkart,Telugu,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,2,Tamil Nadu,Snapdeal,Hindi,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,3,Maharashtra,Myntra,English,Fake
Decent product for the price. Packaging could be better though.,1,Maharashtra,Myntra,English,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,5,Delhi,Amazon,Hindi,Legit
Received the item in good condition. Works as expected.,1,West Bengal,Amazon,Hindi,Legit
Great product. Great service. Great everything.,4,Maharashtra,Snapdeal,Hindi,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,2,Tamil Nadu,Zomato,Telugu,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,3,Maharashtra,Amazon,Telugu,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,3,Karnataka,Flipkart,Bengali,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,4,Karnataka,Myntra,Tamil,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,4,Delhi,Flipkart,Telugu,Legit
Decent product for the price. Packaging could be better though.,4,Tamil Nadu,Flipkart,Hindi,Legit
Decent product for the price. Packaging could be better though.,4,Delhi,Amazon,Hindi,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,2,Delhi,Amazon,Telugu,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,5,Delhi,Snapdeal,Tamil,Legit
Fits well and is comfortable for long periods of use.,2,Tamil Nadu,Myntra,Telugu,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,4,West Bengal,Amazon,Telugu,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,3,Delhi,Flipkart,English,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,1,Karnataka,Zomato,Telugu,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,1,West Bengal,Amazon,Hindi,Fake
OMG this is the best phone in the universe!!!!,2,Delhi,Amazon,Telugu,Fake
OMG this is the best phone in the universe!!!!,1,Delhi,Flipkart,Bengali,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,2,West Bengal,Flipkart,Telugu,Legit
Great product. Great service. Great everything.,1,Delhi,Amazon,Tamil,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,1,Tamil Nadu,Amazon,Tamil,Fake
Fits well and is comfortable for long periods of use.,5,Karnataka,Amazon,Telugu,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,1,Delhi,Myntra,English,Fake
Fits well and is comfortable for long periods of use.,2,Karnataka,Snapdeal,English,Legit
Decent product for the price. Packaging could be better though.,1,West Bengal,Myntra,English,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,2,Maharashtra,Snapdeal,Bengali,Legit
Decent product for the price. Packaging could be better though.,4,Delhi,Flipkart,Tamil,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,4,West Bengal,Myntra,Tamil,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,5,Karnataka,Amazon,Bengali,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,2,Tamil Nadu,Snapdeal,Telugu,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,2,West Bengal,Amazon,Telugu,Legit
OMG this is the best phone in the universe!!!!,3,Maharashtra,Flipkart,Telugu,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,3,Karnataka,Myntra,Tamil,Fake
Great product. Great service. Great everything.,3,West Bengal,Zomato,Bengali,Fake
Decent product for the price. Packaging could be better though.,2,Delhi,Myntra,Telugu,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,1,Maharashtra,Myntra,Tamil,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,3,Karnataka,Zomato,Telugu,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,5,Tamil Nadu,Snapdeal,Tamil,Fake
Received the item in good condition. Works as expected.,3,Karnataka,Zomato,Telugu,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,2,Karnataka,Myntra,English,Fake
Fits well and is comfortable for long periods of use.,1,Tamil Nadu,Amazon,Telugu,Legit
Great product. Great service. Great everything.,5,Karnataka,Snapdeal,Bengali,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,1,Delhi,Flipkart,Tamil,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,1,Karnataka,Myntra,English,Fake
Received the item in good condition. Works as expected.,4,Delhi,Zomato,Hindi,Legit
Decent product for the price. Packaging could be better though.,4,Karnataka,Snapdeal,Tamil,Legit
Fits well and is comfortable for long periods of use.,5,Maharashtra,Myntra,Hindi,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,1,West Bengal,Myntra,Tamil,Legit
Fits well and is comfortable for long periods of use.,1,West Bengal,Myntra,Tamil,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,2,Tamil Nadu,Myntra,Hindi,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,1,Maharashtra,Zomato,Hindi,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,4,Maharashtra,Zomato,English,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,5,West Bengal,Zomato,Tamil,Fake
Great product. Great service. Great everything.,2,Tamil Nadu,Zomato,Tamil,Fake
OMG this is the best phone in the universe!!!!,2,Tamil Nadu,Snapdeal,Hindi,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,5,Delhi,Flipkart,Telugu,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,1,West Bengal,Flipkart,Bengali,Legit
Fits well and is comfortable for long periods of use.,5,Maharashtra,Myntra,Telugu,Legit
OMG this is the best phone in the universe!!!!,3,Maharashtra,Myntra,Hindi,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,1,Delhi,Zomato,Bengali,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,1,Delhi,Flipkart,English,Fake
OMG this is the best phone in the universe!!!!,1,West Bengal,Zomato,Tamil,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,5,West Bengal,Zomato,Bengali,Fake
OMG this is the best phone in the universe!!!!,3,Karnataka,Flipkart,Telugu,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,4,Delhi,Flipkart,English,Legit
Received the item in good condition. Works as expected.,3,Tamil Nadu,Zomato,Hindi,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,4,Tamil Nadu,Snapdeal,Bengali,Fake
Received the item in good condition. Works as expected.,2,Karnataka,Amazon,English,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,2,Karnataka,Amazon,Hindi,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,1,Delhi,Amazon,English,Fake
Great product. Great service. Great everything.,2,Karnataka,Flipkart,Telugu,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,4,Delhi,Flipkart,Hindi,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,1,West Bengal,Zomato,Hindi,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,1,Delhi,Zomato,English,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,3,Maharashtra,Zomato,Tamil,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,4,West Bengal,Amazon,Bengali,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,4,Karnataka,Amazon,Bengali,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,2,West Bengal,Zomato,Tamil,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,3,West Bengal,Myntra,Tamil,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,3,West Bengal,Snapdeal,Bengali,Legit
OMG this is the best phone in the universe!!!!,4,Maharashtra,Amazon,Tamil,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,1,Tamil Nadu,Flipkart,Tamil,Legit
OMG this is the best phone in the universe!!!!,1,Maharashtra,Snapdeal,Bengali,Fake
OMG this is the best phone in the universe!!!!,2,Karnataka,Snapdeal,Hindi,Fake
OMG this is the best phone in the universe!!!!,5,Tamil Nadu,Flipkart,Bengali,Fake
OMG this is the best phone in the universe!!!!,2,West Bengal,Zomato,Tamil,Fake
Received the item in good condition. Works as expected.,4,Maharashtra,Flipkart,Hindi,Legit
Great product. Great service. Great everything.,4,Delhi,Myntra,English,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,2,Maharashtra,Flipkart,Telugu,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,3,West Bengal,Zomato,Bengali,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,4,Maharashtra,Amazon,Tamil,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,5,Karnataka,Myntra,Bengali,Fake
OMG this is the best phone in the universe!!!!,1,Tamil Nadu,Myntra,Bengali,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,2,Karnataka,Myntra,Bengali,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,1,Maharashtra,Zomato,Hindi,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,5,Karnataka,Myntra,English,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,2,Karnataka,Flipkart,Bengali,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,4,Delhi,Flipkart,English,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,3,West Bengal,Myntra,Tamil,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,1,Karnataka,Amazon,Tamil,Legit
Great product. Great service. Great everything.,1,Delhi,Amazon,Bengali,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,4,Delhi,Flipkart,Hindi,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,5,Karnataka,Amazon,Tamil,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,1,Maharashtra,Amazon,Tamil,Fake
Great product. Great service. Great everything.,4,Tamil Nadu,Amazon,Hindi,Fake
Decent product for the price. Packaging could be better though.,3,Karnataka,Flipkart,Bengali,Legit
Fits well and is comfortable for long periods of use.,3,Karnataka,Amazon,Bengali,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,3,Maharashtra,Zomato,Telugu,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,4,Delhi,Zomato,Hindi,Fake
OMG this is the best phone in the universe!!!!,2,Tamil Nadu,Myntra,Hindi,Fake
Received the item in good condition. Works as expected.,4,Maharashtra,Zomato,Telugu,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,3,West Bengal,Zomato,Hindi,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,1,Maharashtra,Zomato,Tamil,Fake
Received the item in good condition. Works as expected.,1,Maharashtra,Zomato,Telugu,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,3,Maharashtra,Amazon,Hindi,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,4,Tamil Nadu,Snapdeal,Hindi,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,4,Karnataka,Zomato,English,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,4,Karnataka,Myntra,Bengali,Fake
Fits well and is comfortable for long periods of use.,4,Karnataka,Amazon,Tamil,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,3,Tamil Nadu,Flipkart,Tamil,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,1,Maharashtra,Flipkart,Hindi,Legit
OMG this is the best phone in the universe!!!!,3,Karnataka,Zomato,English,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,5,West Bengal,Flipkart,Hindi,Fake
Great product. Great service. Great everything.,4,Karnataka,Zomato,English,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,2,Tamil Nadu,Flipkart,Hindi,Fake
Received the item in good condition. Works as expected.,2,Delhi,Amazon,Bengali,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,4,Maharashtra,Amazon,Tamil,Fake
OMG this is the best phone in the universe!!!!,4,Delhi,Myntra,Tamil,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,1,Tamil Nadu,Flipkart,Hindi,Fake
OMG this is the best phone in the universe!!!!,1,West Bengal,Flipkart,English,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,4,Tamil Nadu,Zomato,Hindi,Fake
Received the item in good condition. Works as expected.,3,Karnataka,Myntra,English,Legit
Fits well and is comfortable for long periods of use.,1,West Bengal,Zomato,Hindi,Legit
Fits well and is comfortable for long periods of use.,1,West Bengal,Amazon,Bengali,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,1,Delhi,Amazon,Tamil,Legit
Decent product for the price. Packaging could be better though.,3,Tamil Nadu,Myntra,Hindi,Legit
Fits well and is comfortable for long periods of use.,2,Delhi,Zomato,Tamil,Legit
OMG this is the best phone in the universe!!!!,1,Karnataka,Flipkart,Tamil,Fake
Received the item in good condition. Works as expected.,1,Maharashtra,Snapdeal,Hindi,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,5,Maharashtra,Myntra,Tamil,Legit
Received the item in good condition. Works as expected.,4,Tamil Nadu,Flipkart,Hindi,Legit
Decent product for the price. Packaging could be better though.,1,Delhi,Zomato,English,Legit
Great product. Great service. Great everything.,2,Karnataka,Myntra,English,Fake
Received the item in good condition. Works as expected.,3,Karnataka,Myntra,Bengali,Legit
Great product. Great service. Great everything.,1,Karnataka,Flipkart,Telugu,Fake
Decent product for the price. Packaging could be better though.,1,Tamil Nadu,Myntra,Telugu,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,1,Maharashtra,Flipkart,Bengali,Fake
OMG this is the best phone in the universe!!!!,1,Karnataka,Zomato,Telugu,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,2,Tamil Nadu,Flipkart,Telugu,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,4,Tamil Nadu,Flipkart,Tamil,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,2,Maharashtra,Zomato,English,Legit
Decent product for the price. Packaging could be better though.,4,Delhi,Amazon,Bengali,Legit
Fits well and is comfortable for long periods of use.,1,Delhi,Amazon,Bengali,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,5,Maharashtra,Myntra,Telugu,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,5,Tamil Nadu,Myntra,Tamil,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,2,Maharashtra,Flipkart,English,Legit
Fits well and is comfortable for long periods of use.,2,Tamil Nadu,Amazon,Hindi,Legit
Received the item in good condition. Works as expected.,5,Karnataka,Amazon,Bengali,Legit
Received the item in good condition. Works as expected.,5,Tamil Nadu,Flipkart,Hindi,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,5,Delhi,Snapdeal,Tamil,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,2,West Bengal,Snapdeal,Tamil,Fake
Decent product for the price. Packaging could be better though.,3,Maharashtra,Amazon,English,Legit
Fits well and is comfortable for long periods of use.,3,Maharashtra,Amazon,Tamil,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,3,West Bengal,Snapdeal,Tamil,Fake
Great product. Great service. Great everything.,3,West Bengal,Amazon,English,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,4,Karnataka,Myntra,English,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,1,West Bengal,Myntra,Tamil,Fake
Great product. Great service. Great everything.,2,Karnataka,Flipkart,Hindi,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,5,Delhi,Myntra,Tamil,Fake
Fits well and is comfortable for long periods of use.,2,Tamil Nadu,Zomato,Tamil,Legit
Decent product for the price. Packaging could be better though.,3,Karnataka,Zomato,Telugu,Legit
Received the item in good condition. Works as expected.,5,Delhi,Amazon,Bengali,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,1,Karnataka,Myntra,English,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,3,Tamil Nadu,Amazon,English,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,1,Maharashtra,Amazon,Telugu,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,2,Tamil Nadu,Zomato,Telugu,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,2,Tamil Nadu,Zomato,English,Legit
OMG this is the best phone in the universe!!!!,1,West Bengal,Snapdeal,English,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,5,Tamil Nadu,Snapdeal,Hindi,Fake
Fits well and is comfortable for long periods of use.,1,West Bengal,Myntra,English,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,4,Delhi,Myntra,English,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,4,Karnataka,Flipkart,Hindi,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,5,Tamil Nadu,Amazon,Hindi,Legit
Fits well and is comfortable for long periods of use.,4,West Bengal,Amazon,Hindi,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,1,Tamil Nadu,Myntra,Telugu,Legit
OMG this is the best phone in the universe!!!!,1,Maharashtra,Zomato,Bengali,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,1,Tamil Nadu,Amazon,Bengali,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,5,Karnataka,Zomato,English,Fake
Decent product for the price. Packaging could be better though.,3,West Bengal,Snapdeal,Telugu,Legit
Fits well and is comfortable for long periods of use.,1,Karnataka,Amazon,Telugu,Legit
Decent product for the price. Packaging could be better though.,3,Maharashtra,Flipkart,Hindi,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,1,Karnataka,Amazon,Tamil,Fake
Received the item in good condition. Works as expected.,5,Karnataka,Snapdeal,Bengali,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,4,Delhi,Snapdeal,English,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,2,Delhi,Zomato,Hindi,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,3,Delhi,Flipkart,Hindi,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,5,Maharashtra,Amazon,Tamil,Fake
Fits well and is comfortable for long periods of use.,3,Tamil Nadu,Myntra,English,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,4,Delhi,Myntra,English,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,5,West Bengal,Myntra,Bengali,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,1,Karnataka,Snapdeal,Telugu,Fake
Great product. Great service. Great everything.,1,Maharashtra,Zomato,English,Fake
OMG this is the best phone in the universe!!!!,2,Maharashtra,Myntra,Telugu,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,4,Karnataka,Amazon,Tamil,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,1,Karnataka,Snapdeal,Hindi,Fake
Great product. Great service. Great everything.,3,Tamil Nadu,Myntra,Tamil,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,1,Tamil Nadu,Flipkart,Hindi,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,3,Tamil Nadu,Snapdeal,English,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,2,Delhi,Amazon,Tamil,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,4,Karnataka,Zomato,Hindi,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,4,Maharashtra,Snapdeal,Bengali,Legit
Received the item in good condition. Works as expected.,3,Delhi,Myntra,Telugu,Legit
Received the item in good condition. Works as expected.,5,West Bengal,Zomato,English,Legit
Fits well and is comfortable for long periods of use.,3,Tamil Nadu,Flipkart,Hindi,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,5,Delhi,Zomato,Hindi,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,4,Maharashtra,Amazon,Bengali,Fake
Great product. Great service. Great everything.,2,Tamil Nadu,Myntra,Telugu,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,5,Maharashtra,Flipkart,Hindi,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,5,Maharashtra,Amazon,Telugu,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,1,West Bengal,Snapdeal,Bengali,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,4,Tamil Nadu,Amazon,Hindi,Legit
